critic,fresh,publication,quote,review_date,imdb,rtid,title
Owen Gleiberman,fresh,Entertainment Weekly,,2011-09-07,114709,9559,Toy story
Derek Adams,fresh,Time Out,"So ingenious in concept, design and execution that you could watch it on a postage stamp-sized screen and still be engulfed by its charm.",2009-10-04,114709,9559,Toy story
Richard Corliss,fresh,TIME Magazine,The year's most inventive comedy.,2008-08-31,114709,9559,Toy story
David Ansen,fresh,Newsweek,A winning animated feature that has something for everyone on the age spectrum.,2008-08-18,114709,9559,Toy story
Leonard Klady,fresh,Variety,The film sports a provocative and appealing story that's every bit the equal of this technical achievement.,2008-06-09,114709,9559,Toy story
Jonathan Rosenbaum,fresh,Chicago Reader,"An entertaining computer-generated, hyperrealist animation feature (1995) that's also in effect a toy catalog.",2008-03-10,114709,9559,Toy story
Michael Booth,fresh,Denver Post,"As Lion King did before it, Toy Story revived the art of American children's animation, and ushered in a set of smart movies that entertained children and their parents. It's a landmark movie, and doesn't get old with frequent repetition.",2007-05-03,114709,9559,Toy story
Geoff Andrew,fresh,Time Out,"The film will probably be more fully appreciated by adults, who'll love the snappy, knowing verbal gags, the vivid, deftly defined characters, and the overall conceptual sophistication.",2006-06-24,114709,9559,Toy story
Janet Maslin,fresh,New York Times,Children will enjoy a new take on the irresistible idea of toys coming to life. Adults will marvel at a witty script and utterly brilliant anthropomorphism.,2003-05-20,114709,9559,Toy story
Kenneth Turan,fresh,Los Angeles Times,"Although its computer-generated imagery is impressive, the major surprise of this bright foray into a new kind of animation is how much cleverness has been invested in story and dialogue.",2001-02-13,114709,9559,Toy story
Susan Wloszczyna,fresh,USA Today,"How perfect that two of the most popular funny guys around, Tom Hanks and Tim Allen, speak for the lead boy-toys.",2000-01-01,114709,9559,Toy story
Roger Ebert,fresh,Chicago Sun-Times,The result is a visionary roller-coaster ride of a movie.,2000-01-01,114709,9559,Toy story
John Hartl,fresh,Film.com,"Disney's witty, wondrously imaginative, all-computer-generated cartoon is far and away the best of the new holiday movies in town.",2000-01-01,114709,9559,Toy story
Susan Stark,fresh,Detroit News,Disney's first computer-made animated feature is a 3-D eye popper.,2000-01-01,114709,9559,Toy story
Peter Stack,fresh,San Francisco Chronicle,"The script, by Lasseter, Pete Docter, Andrew Stanton and Joe Ranft, is filled with clever gags that keep the two heroes at each other's throats and the plot on fast- forward.",2000-01-01,114709,9559,Toy story
James Berardinelli,fresh,ReelViews,The one big negative about Toy Story involves Disney's overcommercialization.,2000-01-01,114709,9559,Toy story
Sean Means,fresh,Film.com,"Technically, Toy Story is nearly flawless.",2000-01-01,114709,9559,Toy story
Rita Kempley,fresh,Washington Post,It's a nice change of pace to see the studio draw magic from this modern tale about ordinary 20th-century kid Andy and his eager-to-please playthings.,2000-01-01,114709,9559,Toy story
,fresh,Entertainment Weekly,"I can hardly imagine having more fun at the movies than I did at Toy Story, the miraculous new Disney feature that's the first full-length animated film to be produced entirely on computer.",1995-11-22,114709,9559,Toy story
Roger Moore,fresh,Orlando Sentinel,"The great voice acting, the visual puns, all added up to an animation game changer.",1995-11-22,114709,9559,Toy story
Owen Gleiberman,rotten,Entertainment Weekly,,2011-09-07,113497,12436,Jumanji
Leonard Klady,none,Variety,,2009-01-02,113497,12436,Jumanji
Geoff Andrew,none,Time Out,,2006-06-24,113497,12436,Jumanji
Janet Maslin,none,New York Times,,2003-05-20,113497,12436,Jumanji
Peter Stack,none,San Francisco Chronicle,,2002-06-18,113497,12436,Jumanji
,none,Globe and Mail,,2002-04-12,113497,12436,Jumanji
Jack Mathews,none,Los Angeles Times,,2001-02-13,113497,12436,Jumanji
Roger Ebert,rotten,Chicago Sun-Times,"A gloomy special-effects extravaganza filled with grotesque images, generating fear and despair.",2000-01-01,113497,12436,Jumanji
,none,Washington Post,,2000-01-01,113497,12436,Jumanji
James Berardinelli,rotten,ReelViews,,2000-01-01,113497,12436,Jumanji
Susan Stark,fresh,Detroit News,,2000-01-01,113497,12436,Jumanji
